id,user_id,leave_type,start_date,end_date,days_requested,reason,status,created_at,department,position,hire_date,start_month,start_dow,lead_time_days,duration_days,employee_tenure_days
1,3,emergency,2025-02-01,2025-02-04,4,Synthetic data for demo,approved,2025-01-15,Sales,Staff,2025-01-29,2,5,17,4,-14
2,12,emergency,2025-02-01,2025-02-02,2,Synthetic data for demo,pending,2025-01-27,Marketing,Staff,2020-06-22,2,5,5,2,1680
3,114,sick,2025-02-01,2025-02-02,2,Synthetic data for demo,rejected,2025-01-15,Operations,Senior,2016-07-23,2,5,17,2,3098
4,19,annual,2025-02-02,2025-02-02,1,Synthetic data for demo,approved,2025-01-29,IT,Lead,2021-01-11,2,6,4,1,1479
5,2,vacation,2025-02-03,2025-02-04,2,Synthetic data for demo,approved,2025-01-31,Finance,Manager,2021-08-11,2,0,3,2,1269
6,117,personal,2025-02-03,2025-02-03,1,Synthetic data for demo,approved,2025-01-19,IT,Lead,2024-02-24,2,0,15,1,330
7,70,sick,2025-02-03,2025-02-07,5,Synthetic data for demo,rejected,2025-01-18,HR,Manager,2016-05-25,2,0,16,5,3160
8,11,sick,2025-02-03,2025-02-06,4,Synthetic data for demo,approved,2025-01-23,HR,Staff,2021-06-30,2,0,11,4,1303
9,112,vacation,2025-02-03,2025-02-07,5,Synthetic data for demo,approved,2025-01-28,Finance,Manager,2017-10-08,2,0,6,5,2669
10,72,personal,2025-02-04,2025-02-06,3,Synthetic data for demo,approved,2025-01-21,Sales,Senior,2021-07-04,2,1,14,3,1297
11,17,vacation,2025-02-04,2025-02-04,1,Synthetic data for demo,approved,2025-01-16,Sales,Manager,2019-04-06,2,1,19,1,2112
12,22,annual,2025-02-04,2025-02-08,5,Synthetic data for demo,approved,2025-01-22,Finance,Senior,2016-05-31,2,1,13,5,3158
13,95,sick,2025-02-04,2025-02-07,4,Synthetic data for demo,rejected,2025-02-01,Finance,Senior,2019-04-30,2,1,3,4,2104
14,92,annual,2025-02-05,2025-02-08,4,Synthetic data for demo,approved,2025-01-30,Finance,Senior,2016-07-02,2,2,6,4,3134
15,50,vacation,2025-02-05,2025-02-09,5,Synthetic data for demo,approved,2025-01-27,Sales,Staff,2023-08-17,2,2,9,5,529
16,33,emergency,2025-02-06,2025-02-07,2,Synthetic data for demo,rejected,2025-01-18,Sales,Lead,2023-07-27,2,3,19,2,541
17,13,sick,2025-02-06,2025-02-08,3,Synthetic data for demo,approved,2025-01-25,Sales,Senior,2017-06-27,2,3,12,3,2769
18,111,sick,2025-02-07,2025-02-07,1,Synthetic data for demo,approved,2025-02-01,Finance,Senior,2020-07-19,2,4,6,1,1658
19,55,sick,2025-02-07,2025-02-07,1,Synthetic data for demo,approved,2025-02-03,Finance,Senior,2021-11-26,2,4,4,1,1165
20,21,sick,2025-02-07,2025-02-09,3,Synthetic data for demo,approved,2025-01-26,Sales,Senior,2016-11-09,2,4,12,3,3000
21,97,vacation,2025-02-07,2025-02-08,2,Synthetic data for demo,approved,2025-01-24,Finance,Manager,2020-08-05,2,4,14,2,1633
22,106,sick,2025-02-08,2025-02-12,5,Synthetic data for demo,approved,2025-02-03,Sales,Lead,2019-06-11,2,5,5,5,2064
23,1,personal,2025-02-09,2025-02-10,2,Synthetic data for demo,approved,2025-02-07,Sales,Lead,2025-01-17,2,6,2,2,21
24,101,sick,2025-02-09,2025-02-11,3,Synthetic data for demo,approved,2025-01-22,Sales,Staff,2022-05-08,2,6,18,3,990
25,65,personal,2025-02-10,2025-02-14,5,Synthetic data for demo,approved,2025-01-24,Finance,Manager,2019-12-16,2,0,17,5,1866
26,95,personal,2025-02-10,2025-02-11,2,Synthetic data for demo,approved,2025-02-08,Finance,Senior,2019-04-30,2,0,2,2,2111
27,17,vacation,2025-02-10,2025-02-10,1,Synthetic data for demo,approved,2025-02-02,Sales,Manager,2019-04-06,2,0,8,1,2129
28,41,vacation,2025-02-10,2025-02-11,2,Synthetic data for demo,approved,2025-02-01,Sales,Lead,2021-08-08,2,0,9,2,1273
29,46,emergency,2025-02-10,2025-02-11,2,Synthetic data for demo,pending,2025-02-04,Operations,Staff,2022-12-08,2,0,6,2,789
30,81,vacation,2025-02-10,2025-02-14,5,Synthetic data for demo,approved,2025-02-01,Operations,Staff,2024-07-18,2,0,9,5,198
31,65,annual,2025-02-10,2025-02-12,3,Synthetic data for demo,rejected,2025-01-28,Finance,Manager,2019-12-16,2,0,13,3,1870
32,67,personal,2025-02-10,2025-02-12,3,Synthetic data for demo,approved,2025-02-06,Marketing,Senior,2022-08-05,2,0,4,3,916
33,89,sick,2025-02-10,2025-02-12,3,Synthetic data for demo,pending,2025-01-27,Operations,Senior,2016-03-13,2,0,14,3,3242
34,75,sick,2025-02-12,2025-02-15,4,Synthetic data for demo,pending,2025-01-29,HR,Lead,2019-01-02,2,2,14,4,2219
35,17,personal,2025-02-13,2025-02-13,1,Synthetic data for demo,approved,2025-02-11,Sales,Manager,2019-04-06,2,3,2,1,2138
36,21,personal,2025-02-13,2025-02-13,1,Synthetic data for demo,approved,2025-02-03,Sales,Senior,2016-11-09,2,3,10,1,3008
37,56,personal,2025-02-13,2025-02-16,4,Synthetic data for demo,rejected,2025-01-29,HR,Staff,2017-12-03,2,3,15,4,2614
38,63,personal,2025-02-13,2025-02-15,3,Synthetic data for demo,pending,2025-01-27,Finance,Staff,2024-04-16,2,3,17,3,286
39,15,sick,2025-02-13,2025-02-16,4,Synthetic data for demo,approved,2025-02-11,Finance,Staff,2019-01-15,2,3,2,4,2219
40,88,annual,2025-02-13,2025-02-15,3,Synthetic data for demo,approved,2025-01-30,HR,Manager,2024-03-31,2,3,14,3,305
41,64,sick,2025-02-14,2025-02-15,2,Synthetic data for demo,approved,2025-02-12,Sales,Lead,2022-12-17,2,4,2,2,788
42,113,vacation,2025-02-14,2025-02-17,4,Synthetic data for demo,rejected,2025-02-06,HR,Staff,2016-06-16,2,4,8,4,3157
43,22,annual,2025-02-14,2025-02-16,3,Synthetic data for demo,rejected,2025-02-02,Finance,Senior,2016-05-31,2,4,12,3,3169
44,58,vacation,2025-02-14,2025-02-17,4,Synthetic data for demo,rejected,2025-01-26,Sales,Lead,2025-01-14,2,4,19,4,12
45,33,personal,2025-02-15,2025-02-19,5,Synthetic data for demo,approved,2025-02-05,Sales,Lead,2023-07-27,2,5,10,5,559
