user_id,department,position,hire_date
1,Sales,Lead,2025-01-17
2,Finance,Manager,2021-08-11
3,Sales,Staff,2025-01-29
4,Operations,Manager,2024-12-30
5,Sales,Lead,2018-09-10
6,Operations,Staff,2018-03-14
7,Finance,Lead,2017-09-02
8,HR,Manager,2022-04-12
9,Operations,Senior,2018-03-30
10,Operations,Senior,2017-11-02
11,HR,Staff,2021-06-30
12,Marketing,Staff,2020-06-22
13,Sales,Senior,2017-06-27
14,IT,Manager,2019-09-19
15,Finance,Staff,2019-01-15
16,Finance,Manager,2016-05-20
17,Sales,Manager,2019-04-06
18,Finance,Senior,2024-01-05
19,IT,Lead,2021-01-11
20,Sales,Lead,2024-05-29
21,Sales,Senior,2016-11-09
22,Finance,Senior,2016-05-31
23,Finance,Staff,2017-01-09
24,Sales,Staff,2021-04-23
25,IT,Lead,2021-05-17
26,HR,Staff,2021-04-01
27,Sales,Manager,2020-05-17
28,IT,Manager,2021-08-17
29,Sales,Staff,2019-09-26
30,Sales,Manager,2022-11-08
31,Sales,Manager,2021-08-24
32,Marketing,Senior,2022-02-11
33,Sales,Lead,2023-07-27
34,Sales,Staff,2024-07-20
35,IT,Manager,2018-01-05
36,Sales,Lead,2018-03-10
37,Sales,Senior,2021-04-16
38,Operations,Senior,2018-04-02
39,Operations,Staff,2020-12-14
40,HR,Staff,2024-07-20
41,Sales,Lead,2021-08-08
42,Marketing,Lead,2021-04-17
43,Sales,Lead,2025-02-22
44,Operations,Lead,2019-09-08
45,Operations,Manager,2025-01-12
46,Operations,Staff,2022-12-08
47,Finance,Manager,2022-07-05
48,HR,Senior,2023-10-25
49,Marketing,Staff,2016-03-02
50,Sales,Staff,2023-08-17
51,HR,Manager,2017-07-07
52,Finance,Lead,2023-01-14
53,Operations,Lead,2024-09-06
54,Marketing,Lead,2018-03-21
55,Finance,Senior,2021-11-26
56,HR,Staff,2017-12-03
57,IT,Staff,2022-08-21
58,Sales,Lead,2025-01-14
59,Finance,Lead,2019-01-28
60,Marketing,Lead,2024-05-04
61,IT,Senior,2016-09-14
62,Finance,Senior,2019-01-30
63,Finance,Staff,2024-04-16
64,Sales,Lead,2022-12-17
65,Finance,Manager,2019-12-16
66,Finance,Staff,2025-01-23
67,Marketing,Senior,2022-08-05
68,Finance,Lead,2016-12-29
69,HR,Manager,2021-06-05
70,HR,Manager,2016-05-25
71,Sales,Manager,2023-05-11
72,Sales,Senior,2021-07-04
73,IT,Senior,2025-02-22
74,IT,Senior,2017-01-19
75,HR,Lead,2019-01-02
76,Sales,Lead,2022-12-01
77,HR,Senior,2020-07-19
78,IT,Manager,2017-07-03
79,Sales,Lead,2021-01-29
80,HR,Lead,2021-09-04
81,Operations,Staff,2024-07-18
82,Operations,Staff,2019-07-16
83,Finance,Manager,2018-06-24
84,HR,Senior,2025-07-07
85,HR,Lead,2024-01-28
86,Sales,Staff,2024-07-03
87,Operations,Manager,2024-03-15
88,HR,Manager,2024-03-31
89,Operations,Senior,2016-03-13
90,Operations,Lead,2022-07-07
91,IT,Staff,2023-01-10
92,Finance,Senior,2016-07-02
93,Sales,Staff,2021-05-02
94,HR,Senior,2025-02-09
95,Finance,Senior,2019-04-30
96,IT,Lead,2016-09-15
97,Finance,Manager,2020-08-05
98,Marketing,Senior,2023-04-20
99,Operations,Manager,2020-07-26
100,HR,Staff,2021-08-11
101,Sales,Staff,2022-05-08
102,Operations,Staff,2017-02-11
103,Operations,Senior,2022-12-15
104,Operations,Lead,2024-11-09
105,HR,Staff,2024-10-03
106,Sales,Lead,2019-06-11
107,Sales,Senior,2016-09-11
108,Operations,Manager,2024-11-12
109,HR,Staff,2016-05-04
110,IT,Lead,2025-07-22
111,Finance,Senior,2020-07-19
112,Finance,Manager,2017-10-08
113,HR,Staff,2016-06-16
114,Operations,Senior,2016-07-23
115,Operations,Manager,2019-10-24
116,Marketing,Manager,2023-05-30
117,IT,Lead,2024-02-24
118,HR,Senior,2025-06-25
119,Marketing,Staff,2016-05-24
120,IT,Lead,2017-02-27
