id,user_id,leave_type,start_date,end_date,days_requested,reason,status,created_at
1,3,emergency,2025-02-01,2025-02-04,4,Synthetic data for demo,approved,2025-01-15
2,12,emergency,2025-02-01,2025-02-02,2,Synthetic data for demo,pending,2025-01-27
3,114,sick,2025-02-01,2025-02-02,2,Synthetic data for demo,rejected,2025-01-15
4,19,annual,2025-02-02,2025-02-02,1,Synthetic data for demo,approved,2025-01-29
5,2,vacation,2025-02-03,2025-02-04,2,Synthetic data for demo,approved,2025-01-31
6,117,personal,2025-02-03,2025-02-03,1,Synthetic data for demo,approved,2025-01-19
7,70,sick,2025-02-03,2025-02-07,5,Synthetic data for demo,rejected,2025-01-18
8,11,sick,2025-02-03,2025-02-06,4,Synthetic data for demo,approved,2025-01-23
9,112,vacation,2025-02-03,2025-02-07,5,Synthetic data for demo,approved,2025-01-28
10,72,personal,2025-02-04,2025-02-06,3,Synthetic data for demo,approved,2025-01-21
11,17,vacation,2025-02-04,2025-02-04,1,Synthetic data for demo,approved,2025-01-16
12,22,annual,2025-02-04,2025-02-08,5,Synthetic data for demo,approved,2025-01-22
13,95,sick,2025-02-04,2025-02-07,4,Synthetic data for demo,rejected,2025-02-01
14,92,annual,2025-02-05,2025-02-08,4,Synthetic data for demo,approved,2025-01-30
15,50,vacation,2025-02-05,2025-02-09,5,Synthetic data for demo,approved,2025-01-27
16,33,emergency,2025-02-06,2025-02-07,2,Synthetic data for demo,rejected,2025-01-18
17,13,sick,2025-02-06,2025-02-08,3,Synthetic data for demo,approved,2025-01-25
18,111,sick,2025-02-07,2025-02-07,1,Synthetic data for demo,approved,2025-02-01
19,55,sick,2025-02-07,2025-02-07,1,Synthetic data for demo,approved,2025-02-03
20,21,sick,2025-02-07,2025-02-09,3,Synthetic data for demo,approved,2025-01-26
21,97,vacation,2025-02-07,2025-02-08,2,Synthetic data for demo,approved,2025-01-24
22,106,sick,2025-02-08,2025-02-12,5,Synthetic data for demo,approved,2025-02-03
23,1,personal,2025-02-09,2025-02-10,2,Synthetic data for demo,approved,2025-02-07
24,101,sick,2025-02-09,2025-02-11,3,Synthetic data for demo,approved,2025-01-22
25,65,personal,2025-02-10,2025-02-14,5,Synthetic data for demo,approved,2025-01-24
26,95,personal,2025-02-10,2025-02-11,2,Synthetic data for demo,approved,2025-02-08
27,17,vacation,2025-02-10,2025-02-10,1,Synthetic data for demo,approved,2025-02-02
28,41,vacation,2025-02-10,2025-02-11,2,Synthetic data for demo,approved,2025-02-01
29,46,emergency,2025-02-10,2025-02-11,2,Synthetic data for demo,pending,2025-02-04
30,81,vacation,2025-02-10,2025-02-14,5,Synthetic data for demo,approved,2025-02-01
31,65,annual,2025-02-10,2025-02-12,3,Synthetic data for demo,rejected,2025-01-28
32,67,personal,2025-02-10,2025-02-12,3,Synthetic data for demo,approved,2025-02-06
33,89,sick,2025-02-10,2025-02-12,3,Synthetic data for demo,pending,2025-01-27
34,75,sick,2025-02-12,2025-02-15,4,Synthetic data for demo,pending,2025-01-29
35,17,personal,2025-02-13,2025-02-13,1,Synthetic data for demo,approved,2025-02-11
36,21,personal,2025-02-13,2025-02-13,1,Synthetic data for demo,approved,2025-02-03
37,56,personal,2025-02-13,2025-02-16,4,Synthetic data for demo,rejected,2025-01-29
38,63,personal,2025-02-13,2025-02-15,3,Synthetic data for demo,pending,2025-01-27
39,15,sick,2025-02-13,2025-02-16,4,Synthetic data for demo,approved,2025-02-11
40,88,annual,2025-02-13,2025-02-15,3,Synthetic data for demo,approved,2025-01-30
41,64,sick,2025-02-14,2025-02-15,2,Synthetic data for demo,approved,2025-02-12
42,113,vacation,2025-02-14,2025-02-17,4,Synthetic data for demo,rejected,2025-02-06
43,22,annual,2025-02-14,2025-02-16,3,Synthetic data for demo,rejected,2025-02-02
44,58,vacation,2025-02-14,2025-02-17,4,Synthetic data for demo,rejected,2025-01-26
45,33,personal,2025-02-15,2025-02-19,5,Synthetic data for demo,approved,2025-02-05
46,71,vacation,2025-02-16,2025-02-19,4,Synthetic data for demo,approved,2025-01-31
47,111,annual,2025-02-17,2025-02-19,3,Synthetic data for demo,pending,2025-02-14
48,6,vacation,2025-02-17,2025-02-21,5,Synthetic data for demo,rejected,2025-02-16
49,13,unpaid,2025-02-17,2025-02-17,1,Synthetic data for demo,approved,2025-02-04
50,75,annual,2025-02-17,2025-02-17,1,Synthetic data for demo,approved,2025-02-12
51,29,sick,2025-02-18,2025-02-18,1,Synthetic data for demo,approved,2025-01-31
52,73,annual,2025-02-21,2025-02-25,5,Synthetic data for demo,rejected,2025-02-16
53,30,annual,2025-02-21,2025-02-21,1,Synthetic data for demo,pending,2025-02-18
54,93,sick,2025-02-22,2025-02-22,1,Synthetic data for demo,approved,2025-02-19
55,65,personal,2025-02-22,2025-02-25,4,Synthetic data for demo,pending,2025-02-13
